############################################################
Species: N2
############################################################
Band: First_Positive
Upper Electronic State: 3
Lower Electronic State: 2
#  vl    vu    A (1/s)
   4     5   1.4740e+06 
   4     6   2.0810e+06 
   4     7   1.1490e+06 
   4     8   4.2240e+05 
   4     9   1.2220e+05 
   4    10   3.0080e+04 
   4    11   6.5350e+03 
   4    12   1.2730e+03 
   4    13   2.2230e+02 
   4    14   3.4240e+01 
   4    15   4.4620e+00 
   5     0   1.8190e+02 
   5     1   7.3800e+02 
   5     2   1.8320e+05 
   5     3   4.5020e+06 
   5     4   7.2200e+06 
   5     5   4.4640e+05 
   5     6   7.6530e+05 
   5     7   1.7650e+06 
   5     8   1.2130e+06 
   5     9   5.2570e+05 
   5    10   1.7440e+05 
   5    11   4.8510e+04 
   5    12   1.1820e+04 
   5    13   2.5760e+03 
   5    14   5.0530e+02 
   5    15   8.8630e+01 
   5    16   1.3590e+01 
   5    17   1.7190e+00 
   6     0   3.0160e+00 
   6     1   1.1430e+03 
   6     2   8.0970e+03 
   6     3   1.7360e+05 
   6     4   5.0060e+06 
   6     5   6.5920e+06 
   6     6   6.7480e+05 
   6     7   3.5140e+05 
   6     8   1.4210e+06 
   6     9   1.1820e+06 
   6    10   5.9090e+05 
   6    11   2.2080e+05 
   6    12   6.8400e+04 
   6    13   1.8450e+04 
   6    14   4.4490e+03 
   6    15   9.7070e+02 
   6    16   1.9170e+02 
   6    17   3.3860e+01 
   6    18   5.1750e+00 
   7     2   3.3610e+03 
   7     3   3.7730e+04 
   7     4   8.7080e+04 
   7     5   5.0350e+06 
   7     6   6.3440e+06 
   7     7   6.8830e+05 
   7     8   1.4250e+05 
   7     9   1.1250e+06 
   7    10   1.0840e+06 
   7    11   6.1180e+05 
   7    12   2.5240e+05 
   7    13   8.5770e+04 
   7    14   2.5270e+04 
   7    15   6.6630e+03 
   7    16   1.5990e+03 
   7    17   3.5140e+02 
   7    18   7.0390e+01 
   7    19   1.2570e+01 
   7    20   1.8820e+00 
   8     1   1.2280e+01 
   8     3   5.1330e+03 
   8     4   1.0950e+05 
   8     5   1.6780e+03 
   8     6   4.4840e+06 
   8     7   6.4910e+06 
   8     8   5.0140e+05 
   8     9   5.0040e+04 
   8    10   9.1280e+05 
   8    11   9.4820e+05 
   8    12   5.9190e+05 
   8    13   2.6300e+05 
   8    14   9.6510e+04 
   8    15   3.0620e+04 
   8    16   8.7230e+03 
   8    17   2.2740e+03 
   8    18   5.4910e+02 
   8    19   1.2280e+02 
   8    20   2.5020e+01 
   8    21   4.4370e+00 
   9     2   5.0660e+01 
   9     3   9.6630e+02 
   9     4   2.2880e+03 
   9     5   2.1400e+05 
   9     7   3.2500e+06 
   9     8   6.8780e+06 
   9    11   7.9800e+05 
   9    12   7.9360e+05 
   9    13   5.4170e+05 
   9    14   2.5060e+05 
   9    15   9.7910e+04 
   9    16   3.2870e+04 
   9    17   1.0010e+04 
   9    18   2.8000e+03 
   9    19   7.3260e+02 
   9    20   1.7980e+02 
   9    21   4.0900e+01 
  10     2   5.1950e+00 
  10     3   4.4730e+01 
  10     4   4.3740e+03 
  10     6   2.5800e+05 
  10     7   7.2210e+05 
  10     8   1.4900e+06 
  10     9   7.0250e+06 
  10    10   1.2500e+04 
  10    11   5.2920e+02 
  10    12   7.8650e+05 
  10    13   6.2190e+05 
  10    14   4.7540e+05 
